VEHICLE TYPE,24-Apr,24-Mar,24-Feb,24-Jan,23-Dec,23-Nov,23-Oct,23-Sep,23-Aug,23-Jul,23-May,23-Apr
CAR/ZEEP,4,2,3,6,1,0,5,4,3,2,1,3
BUS/MINIBUS,14,6,18,5,5,7,29,7,9,8,6,13
TRUCK,19,24,21,5,11,20,26,7,2,8,3,4
PICK-UP,5,5,6,2,9,5,10,3,3,3,2,3
MICROBUS,8,2,4,0,2,5,3,1,0,1,3,0
AMBULANCE,0,1,0,0,0,2,0,0,0,0,1,0
MOTORCYCLE,31,23,23,14,22,22,26,24,17,24,26,25
VAN,0,0,0,0,0,0,0,0,0,0,0,0
TRACTOR,1,3,2,1,2,2,3,1,1,2,2,0
EASY BIKE,3,3,1,0,0,0,0,0,0,0,0,0
AUTO RICKSHAW,1,3,2,1,4,3,6,2,3,3,0,7
AUTO TAXI,15,20,20,4,14,22,20,11,14,22,11,21
OTHERS,22,12,12,7,9,12,22,9,9,9,10,11
